address,categories,city,lat,long,name,phones
2871 Gulf To Bay Blvd,"American, American (new), Clearwater Restaurants, American (new) / American / Vegan",Clearwater,27.971165,-82.696938,Village Inn Restaurant and Bakery,7277964988
605 W Main St,Caf and Sandwich Place,Louisville,38.25702035,-85.76001328,Atlantic No. 5,5028833398
3803 9th St S W,"American, Barbecue, Puyallup Restaurants, Barbecue / American / Vegetarian, Caterers & Catering, Puyallup,  WA, Restaurants & Bars, Restaurants, Puyallup Barbecue",Puyallup,47.154828,-122.303992,Famous Dave's,2536040340
30 S Main St,"Coffee & Tea, Restaurant, Restaurants, Bar, American Restaurant, and Burger Joint, Coffee & Tea-Wholesale & Manufacturers",Oberlin,41.29082277,-82.21764028,The Feve,"[""4407741978"",""4197741978"",""4407753064""]"
55 Crescent Dr,Sandwich Place and Fast Food Restaurant,Pleasant Hill,37.94566339,-122.0619969,Quiznos,9258258644
2243 Richmond Ave,"English Restaurant, Caf, and Breakfast Spot",Houston,29.7336,-95.4146,Hobbit Cafe,"[""7135265460""]"
8007 State Rt 31,"Pizza, Restaurants",Bridgeport,NA,NA,Familia Pizza,3156339909
415 Thompson Ln,"Nashville Restaurants, Glencliff Estates, Restaurants",Nashville,36.11988,-86.718505,Lalibela Ethiopian Cuisine,6153320710
217 W Beloit St,"Orfordville Restaurants, Italian / Pizza / Vegan, recreation, food and drink, pizza",Orfordville,42.635024,-89.2681673,Villa Pizza (closed),6088799929
309 N Lamar Blvd,Restaurants,Oxford,34.36802,-89.51839,The Pita Pit,6622383535
1819 Lake Cook Rd,"Mandarin, Restaurants, Northbrook Restaurants, Asian / Vegetarian / Japanese, Illinois (il), Northbrook, <a href=/explore?q=Chinese Restaurant&near=Northbrook, IL>Chinese Restaurant, <a href=/explore?q=Asian Restaurant&near=Northbrook, IL>Asian Restaurant",Northbrook,42.151959,-87.821541,P.f. Chang's China Bistro,8.48E+09
6286 N College Ave,"American, Pizza, Indianapolis Restaurants, Warfleigh, Pizza / Vegetarian / Italian, Restaurants, Italian, Sandwiches/Subs",Indianapolis,39.869489,-86.146425,Marco's Pizza,3172144100
145 Charles St,"Chinese Restaurants, Asian Restaurants, Take Out Restaurants, Caterers, Restaurants",Boston,42.360313,-71.07081,King I,6172273320
113 Monroe St,"Delta Restaurants, Pizza / American / Vegetarian",Delta,41.574067,-84.007303,Pizza Pit,4199236880
302 S 38th St,"Omaha Restaurants, Blackstone, Vegetarian",Omaha,41.257512,-95.96932,Mcforters,4023457477
7830 Highway 92,"Woodstock Restaurants, Barbecue / Soul Food / Vegetarian",Woodstock,NA,NA,Sonny's Real Pit Bar-b-q,7709267848
26 5th Ave N,"[""Sandwich Place"",""Wraps"",""Sandwiches"",""American"",""Sandwiches / Wraps / Vegan"",""Waite Park Restaurants""]",Waite Park,45.553367,-94.222893,Milio's Sandwiches,"[""3202031800""]"
249 N Rocky River Dr,"Pizza, Restaurant, Restaurants, Berea Restaurants, Ohio (oh), Berea, Deli, Sandwiches, recreation, food and drink",Berea,41.372713,-81.861268,Oven Fresh Pizza - Southwest - Berea,4402435656
