State/Territory,Population(Million),Number Of Vegan restaurants,Number Of Vegan restaurants / 1M People,Latitude,Longitude
Maharashtra,51.97,289,6,19.7514798,75.7138884
Karnataka,23.05,166,7,15.3172775,75.7138884
Tamil Nadu,28.82,122,4,11.1271225,78.6568942
Uttar Pradesh,41.61,112,3,27.5705886,80.0981869
Gujarat,31.74,72,2,22.6708317,71.5723953
Rajasthan,13.51,68,5,27.0238036,74.2179326
Delhi,15.14,46,3,28.7040592,77.1024902
Madhya Pradesh,17.99,46,3,22.9734229,78.6568942
Haryana,8.5,45,5,29.0587757,76.085601
Goa,0.82024,37,45,15.2993265,74.123996
Kerala,6.51,35,5,10.1631526,76.6412712
Andhra Pradesh,14.06,32,2,15.9128998,79.7399875
West Bengal,18.58,27,1,22.9867569,87.8549755
Bihar,9.69,23,2,25.9644427,85.2722472
Punjab,7.96,18,2,31.1471305,75.3412179
Jharkhand,8.49,12,1,23.6913486,85.2722472
Telangana,20.01,12,1,17.0944155,79.7750322
Puducherry,0.81194,7,9,11.9415915,79.8083133
Chandigarh,0.96079,6,6,30.7333148,76.7794179
Orissa,7.96,5,1,20.2376,84.27
Jammu And Kashmir,2.67,5,2,33.277839,75.3412179
Himachal Pradesh,0.71842,4,6,32.1024076,77.5619419
Manipur,0.50918,3,6,24.6637173,93.9062688
Chhattisgarh,4.14,2,1,21.2786567,81.8661442
Uttaranchal,2.46,1,1,30.0668,79.0193
Meghalaya,291.4,1,3,25.4670308,91.366216
Assam,3.35,1,1,26.2006043,92.9375739
